level,seed,model_tag,d,n_obs,n_remove,correct_remove,n_add,correct_add,pc_fp,pc_fn,n_pc_adj,n_non_adj,chance_remove,chance_add,pc_skeleton_f1
2,1013733486,qwen3-coder-30b-a3b-instruct,8,300,0,0,4,0,0,0,8,20,0.0,0.0,1.0
2,1170454109,gpt-4o-mini-2024-07-18,8,300,4,0,4,0,0,0,8,20,0.0,0.0,1.0
2,1170454109,qwen3-coder-30b-a3b-instruct,8,300,4,0,4,0,0,0,8,20,0.0,0.0,1.0
2,1205066770,gpt-4o-mini-2024-07-18,8,300,4,0,2,0,0,2,6,22,0.0,0.090909,0.857143
2,1205066770,qwen3-coder-30b-a3b-instruct,8,300,0,0,1,1,0,2,6,22,0.0,0.090909,0.857143
2,1528591101,gpt-4o-mini-2024-07-18,8,300,4,0,2,0,0,0,8,20,0.0,0.0,1.0
2,1528591101,qwen3-coder-30b-a3b-instruct,8,300,4,0,4,0,0,0,8,20,0.0,0.0,1.0
2,1922145947,gpt-4o-mini-2024-07-18,8,300,4,0,1,0,0,1,7,21,0.0,0.047619,0.933333
2,1922145947,qwen3-coder-30b-a3b-instruct,8,300,4,0,4,0,0,1,7,21,0.0,0.047619,0.933333
2,2139245632,gpt-4o-mini-2024-07-18,8,300,4,0,3,0,0,0,8,20,0.0,0.0,1.0
2,2139245632,qwen3-coder-30b-a3b-instruct,8,300,0,0,0,0,0,0,8,20,0.0,0.0,1.0
3,672264874,gpt-4o-mini-2024-07-18,10,300,4,0,0,0,0,1,9,36,0.0,0.027778,0.947368
3,672264874,qwen3-coder-30b-a3b-instruct,10,300,0,0,4,1,0,1,9,36,0.0,0.027778,0.947368
3,1160858884,gpt-4o-mini-2024-07-18,10,300,4,0,4,0,0,1,9,36,0.0,0.027778,0.947368
3,1160858884,qwen3-coder-30b-a3b-instruct,10,300,0,0,0,0,0,1,9,36,0.0,0.027778,0.947368
3,1209483262,gpt-4o-mini-2024-07-18,10,300,4,0,3,0,0,0,10,35,0.0,0.0,1.0
3,1209483262,qwen3-coder-30b-a3b-instruct,10,300,0,0,0,0,0,0,10,35,0.0,0.0,1.0
3,1221181939,gpt-4o-mini-2024-07-18,10,300,4,0,4,0,0,1,9,36,0.0,0.027778,0.947368
3,1221181939,qwen3-coder-30b-a3b-instruct,10,300,0,0,0,0,0,1,9,36,0.0,0.027778,0.947368
3,1409296086,gpt-4o-mini-2024-07-18,10,300,4,0,3,0,0,1,9,36,0.0,0.027778,0.947368
3,1409296086,qwen3-coder-30b-a3b-instruct,10,300,0,0,0,0,0,1,9,36,0.0,0.027778,0.947368
3,1511305649,gpt-4o-mini-2024-07-18,10,300,4,0,1,0,0,1,9,36,0.0,0.027778,0.947368
3,1511305649,qwen3-coder-30b-a3b-instruct,10,300,3,0,3,0,0,1,9,36,0.0,0.027778,0.947368
3,1851410617,gpt-4o-mini-2024-07-18,10,300,4,0,0,0,0,0,10,35,0.0,0.0,1.0
3,1851410617,qwen3-coder-30b-a3b-instruct,10,300,0,0,4,0,0,0,10,35,0.0,0.0,1.0
3,1868687150,gpt-4o-mini-2024-07-18,10,300,4,0,2,0,0,2,8,37,0.0,0.054054,0.888889
3,1868687150,qwen3-coder-30b-a3b-instruct,10,300,0,0,4,1,0,2,8,37,0.0,0.054054,0.888889
3,1871593145,gpt-4o-mini-2024-07-18,10,300,4,0,2,0,0,0,10,35,0.0,0.0,1.0
3,1871593145,qwen3-coder-30b-a3b-instruct,10,300,3,0,0,0,0,0,10,35,0.0,0.0,1.0
3,1971979182,gpt-4o-mini-2024-07-18,10,300,4,0,3,0,0,2,8,37,0.0,0.054054,0.888889
3,1971979182,qwen3-coder-30b-a3b-instruct,10,300,0,0,0,0,0,2,8,37,0.0,0.054054,0.888889
