arm,model_tag,level,n,directed_f1,selection_regret_total,cost_usd
llm+meek,qwen3-coder-30b-a3b-instruct,2,10,0.907 ±0.068,0.000 ±0.000,0.000 ±0.000
llm+meek,qwen3-coder-30b-a3b-instruct,3,10,0.920 ±0.052,0.400 ±0.433,0.001 ±0.000
llm_e2e,gpt-4o-mini-2024-07-18,0,10,0.000 ±0.000,—,0.002 ±0.000
llm_e2e,gpt-4o-mini-2024-07-18,1,10,0.000 ±0.000,—,0.003 ±0.000
llm_e2e,gpt-4o-mini-2024-07-18,2,10,0.000 ±0.000,—,0.004 ±0.000
llm_e2e,gpt-4o-mini-2024-07-18,3,10,0.000 ±0.000,—,0.005 ±0.001
llm_e2e,qwen3-coder-30b-a3b-instruct,0,10,0.221 ±0.111,—,0.003 ±0.002
llm_e2e,qwen3-coder-30b-a3b-instruct,1,10,0.170 ±0.106,—,0.004 ±0.001
llm_e2e,qwen3-coder-30b-a3b-instruct,2,10,0.101 ±0.073,—,0.009 ±0.003
llm_e2e,qwen3-coder-30b-a3b-instruct,3,10,0.113 ±0.070,—,0.014 ±0.002
maxdeg+llm,gpt-4o-mini-2024-07-18,0,10,0.318 ±0.234,0.300 ±0.299,0.000 ±0.000
maxdeg+llm,gpt-4o-mini-2024-07-18,1,10,0.611 ±0.097,0.200 ±0.392,0.000 ±0.000
maxdeg+llm,gpt-4o-mini-2024-07-18,2,10,0.654 ±0.177,0.000 ±0.000,0.000 ±0.000
maxdeg+llm,gpt-4o-mini-2024-07-18,3,10,0.626 ±0.099,0.100 ±0.196,0.000 ±0.000
maxdeg+llm,qwen3-coder-30b-a3b-instruct,0,10,0.238 ±0.185,0.300 ±0.299,0.000 ±0.000
maxdeg+llm,qwen3-coder-30b-a3b-instruct,1,10,0.577 ±0.082,0.200 ±0.392,0.000 ±0.000
maxdeg+llm,qwen3-coder-30b-a3b-instruct,2,10,0.673 ±0.139,0.000 ±0.000,0.000 ±0.000
maxdeg+llm,qwen3-coder-30b-a3b-instruct,3,10,0.606 ±0.085,0.100 ±0.196,0.001 ±0.001
maxdeg+meek,none,0,10,0.786 ±0.146,0.300 ±0.299,—
maxdeg+meek,none,1,10,0.815 ±0.125,0.200 ±0.392,—
maxdeg+meek,none,2,10,0.907 ±0.068,0.000 ±0.000,—
maxdeg+meek,none,3,10,0.920 ±0.052,0.100 ±0.196,—
oracle+llm,gpt-4o-mini-2024-07-18,0,10,0.257 ±0.155,0.000 ±0.000,0.000 ±0.000
oracle+llm,gpt-4o-mini-2024-07-18,1,10,0.582 ±0.100,0.000 ±0.000,0.000 ±0.000
oracle+llm,gpt-4o-mini-2024-07-18,2,10,0.625 ±0.174,0.000 ±0.000,0.000 ±0.000
oracle+llm,gpt-4o-mini-2024-07-18,3,10,0.600 ±0.094,0.000 ±0.000,0.000 ±0.000
oracle+llm,qwen3-coder-30b-a3b-instruct,0,10,0.325 ±0.205,0.000 ±0.000,0.001 ±0.001
oracle+llm,qwen3-coder-30b-a3b-instruct,1,10,0.586 ±0.105,0.000 ±0.000,0.000 ±0.000
oracle+llm,qwen3-coder-30b-a3b-instruct,2,10,0.693 ±0.131,0.000 ±0.000,0.001 ±0.000
oracle+llm,qwen3-coder-30b-a3b-instruct,3,10,0.623 ±0.071,0.000 ±0.000,0.001 ±0.000
oracle+meek,none,0,10,0.700 ±0.153,0.000 ±0.000,—
oracle+meek,none,1,10,0.815 ±0.125,0.000 ±0.000,—
oracle+meek,none,2,10,0.919 ±0.070,0.000 ±0.000,—
oracle+meek,none,3,10,0.909 ±0.062,0.000 ±0.000,—
random+llm,gpt-4o-mini-2024-07-18,0,10,0.406 ±0.213,0.300 ±0.299,0.000 ±0.000
random+llm,gpt-4o-mini-2024-07-18,1,10,0.559 ±0.099,0.200 ±0.261,0.000 ±0.000
random+llm,gpt-4o-mini-2024-07-18,2,10,0.602 ±0.172,1.300 ±1.133,0.000 ±0.000
random+llm,gpt-4o-mini-2024-07-18,3,10,0.519 ±0.107,3.600 ±1.964,0.000 ±0.000
random+llm,qwen3-coder-30b-a3b-instruct,0,10,0.336 ±0.187,0.300 ±0.299,0.000 ±0.000
random+llm,qwen3-coder-30b-a3b-instruct,1,10,0.548 ±0.089,0.200 ±0.261,0.000 ±0.000
random+llm,qwen3-coder-30b-a3b-instruct,2,10,0.652 ±0.100,1.300 ±1.133,0.000 ±0.000
random+llm,qwen3-coder-30b-a3b-instruct,3,10,0.625 ±0.064,3.600 ±1.964,0.001 ±0.001
random+meek,none,0,10,0.757 ±0.151,0.300 ±0.299,—
random+meek,none,1,10,0.817 ±0.107,0.200 ±0.261,—
random+meek,none,2,10,0.897 ±0.069,1.300 ±1.133,—
random+meek,none,3,10,0.901 ±0.050,3.600 ±1.964,—
